name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Hortolandia HTL5,2016,Vegetação densa,3.1,2023
Ascenty - Hortolandia HTL5,2016,Grama,68.11,2023
Ascenty - Hortolandia HTL5,2016,Solo exposto,0.0,2023
Ascenty - Hortolandia HTL5,2016,Construção,28.79,2023
Ascenty - Hortolandia HTL5,2017,Vegetação densa,0.93,2023
Ascenty - Hortolandia HTL5,2017,Grama,71.52,2023
Ascenty - Hortolandia HTL5,2017,Solo exposto,0.0,2023
Ascenty - Hortolandia HTL5,2017,Construção,27.55,2023
Ascenty - Hortolandia HTL5,2018,Vegetação densa,2.48,2023
Ascenty - Hortolandia HTL5,2018,Grama,62.85,2023
Ascenty - Hortolandia HTL5,2018,Solo exposto,0.0,2023
Ascenty - Hortolandia HTL5,2018,Construção,34.67,2023
Ascenty - Hortolandia HTL5,2019,Vegetação densa,2.48,2023
Ascenty - Hortolandia HTL5,2019,Grama,67.8,2023
Ascenty - Hortolandia HTL5,2019,Solo exposto,0.0,2023
Ascenty - Hortolandia HTL5,2019,Construção,29.72,2023
Ascenty - Hortolandia HTL5,2020,Vegetação densa,7.12,2023
Ascenty - Hortolandia HTL5,2020,Grama,63.78,2023
Ascenty - Hortolandia HTL5,2020,Solo exposto,0.0,2023
Ascenty - Hortolandia HTL5,2020,Construção,29.1,2023
Ascenty - Hortolandia HTL5,2021,Vegetação densa,1.24,2023
Ascenty - Hortolandia HTL5,2021,Grama,31.58,2023
Ascenty - Hortolandia HTL5,2021,Solo exposto,4.02,2023
Ascenty - Hortolandia HTL5,2021,Construção,63.16,2023
Ascenty - Hortolandia HTL5,2022,Vegetação densa,3.1,2023
Ascenty - Hortolandia HTL5,2022,Grama,32.2,2023
Ascenty - Hortolandia HTL5,2022,Solo exposto,4.02,2023
Ascenty - Hortolandia HTL5,2022,Construção,60.68,2023
Ascenty - Hortolandia HTL5,2023,Vegetação densa,1.24,2023
Ascenty - Hortolandia HTL5,2023,Grama,36.65,2023
Ascenty - Hortolandia HTL5,2023,Solo exposto,2.17,2023
Ascenty - Hortolandia HTL5,2023,Construção,59.94,2023
Ascenty - Hortolandia HTL5,2024,Vegetação densa,1.24,2023
Ascenty - Hortolandia HTL5,2024,Grama,35.29,2023
Ascenty - Hortolandia HTL5,2024,Solo exposto,0.62,2023
Ascenty - Hortolandia HTL5,2024,Construção,62.85,2023
Ascenty - Hortolandia HTL5,2025,Vegetação densa,5.57,2023
Ascenty - Hortolandia HTL5,2025,Grama,28.79,2023
Ascenty - Hortolandia HTL5,2025,Solo exposto,0.62,2023
Ascenty - Hortolandia HTL5,2025,Construção,65.02,2023
Ascenty - Hortolandia HTL5,2026,Vegetação densa,6.5,2023
Ascenty - Hortolandia HTL5,2026,Grama,33.44,2023
Ascenty - Hortolandia HTL5,2026,Solo exposto,0.31,2023
Ascenty - Hortolandia HTL5,2026,Construção,59.75,2023
